keywords,coherence,top3,topic_number
"[(0.029489858, 'security'), (0.02392066, 'ai'), (0.019038225, 'cyber'), (0.013763882, 'attack'), (0.013690651, 'system'), (0.010316203, 'intelligence'), (0.009342886, 'cybersecurity'), (0.009342709, 'threat'), (0.008415171, 'company'), (0.008150539, 'risk'), (0.007835239, 'information'), (0.0077910135, 'artificial'), (0.007726409, 'artificial_intelligence'), (0.0072534913, 'cyber_security'), (0.0067775906, 'industry'), (0.0065163285, 'software'), (0.006459198, 'malware'), (0.0062205186, 'year'), (0.006210534, 'computer'), (0.0061639207, 'tool')]",0.6898167879995555,"['security', 'ai', 'cyber']",10
"[(0.040097613, 'word'), (0.031297483, 'attention'), (0.024381628, 'input'), (0.023914998, 'output'), (0.023630373, 'layer'), (0.023062214, 'sequence'), (0.01490573, 'transformer'), (0.01433675, 'sentence'), (0.012364565, 'vector'), (0.01171292, 'network'), (0.011696714, 'encoder'), (0.010311763, 'representation'), (0.009984083, 'position'), (0.009896971, 'value'), (0.008826962, 'neural'), (0.008743946, 'training'), (0.008543285, 'information'), (0.008263802, 'score'), (0.008024857, 'task'), (0.0075352923, 'language')]",0.6403428952039208,"['word', 'attention', 'input']",1
"[(0.021943932, 'design'), (0.021055464, 'security'), (0.014658038, 'cloud'), (0.014567358, 'trust'), (0.014412277, 'user'), (0.013218219, 'access'), (0.012061827, 'network'), (0.011320375, 'product'), (0.010604656, 'team'), (0.010192967, 'zero'), (0.010010742, 'service'), (0.009633756, 'experience'), (0.009386589, 'organization'), (0.007957812, 'help'), (0.007599395, 'risk'), (0.007394359, 'log'), (0.0069506294, 'process'), (0.006936609, 'provide'), (0.0068801283, 'system'), (0.006486295, 'business')]",0.5394382177693628,"['design', 'security', 'cloud']",3
"[(0.039256852, 'learning'), (0.019557951, 'image'), (0.0191503, 'machine'), (0.016435174, 'learn'), (0.014383415, 'machine_learning'), (0.011839886, 'feature'), (0.011635494, 'training'), (0.011499125, 'network'), (0.011011218, 'deep'), (0.010740077, 'label'), (0.009447881, 'prediction'), (0.008663009, 'train'), (0.00855346, 'class'), (0.008216393, 'neural'), (0.0076454757, 'sample'), (0.0070910733, 'algorithm'), (0.0066974144, 'active'), (0.0062339134, 'dataset'), (0.005830339, 'ml'), (0.0055150595, 'task')]",0.5386263160540127,"['learning', 'image', 'machine']",2
"[(0.048467815, 'distance'), (0.04434496, 'word'), (0.037821513, 'vector'), (0.022987386, 'graph'), (0.022612344, 'similarity'), (0.01853345, 'node'), (0.015755376, 'metric'), (0.013901052, 'calculate'), (0.0120096, 'cosine'), (0.011923785, 'point'), (0.011138496, 'similar'), (0.010913262, 'embedding'), (0.0109014185, 'euclidean'), (0.010726484, 'represent'), (0.0091228355, 'let'), (0.0083984025, 'network'), (0.008239645, 'space'), (0.008225382, 'value'), (0.007749115, 'euclidean_distance'), (0.0076997913, 'document')]",0.507565138164221,"['distance', 'word', 'vector']",8
"[(0.06393538, 'topic'), (0.044119924, 'word'), (0.026755773, 'document'), (0.01683028, 'text'), (0.014204, 'language'), (0.013083063, 'nlp'), (0.011635575, 'article'), (0.010985214, 'distribution'), (0.009026001, 'lda'), (0.008015545, 'sentence'), (0.0066711004, 'modeling'), (0.006380314, 'natural'), (0.006114162, 'natural_language'), (0.0059836567, 'information'), (0.005935649, 'understand'), (0.005618117, 'term'), (0.0054737804, 'probability'), (0.005193729, 'processing'), (0.0051286495, 'human'), (0.0048556584, 'topic_modeling')]",0.4999225610407966,"['topic', 'word', 'document']",9
"[(0.08278846, 'user'), (0.060577933, 'device'), (0.026698213, 'item'), (0.023858083, 'recommendation'), (0.020765426, 'score'), (0.014445299, 'system'), (0.013340079, 'rating'), (0.012829137, 'movie'), (0.012217725, 'app'), (0.010906442, 'filtering'), (0.010220293, 'similarity'), (0.009758481, 'collaborative'), (0.00886823, 'similar'), (0.008258597, 'product'), (0.008029354, 'collaborative_filtering'), (0.0077979774, 'high'), (0.0075857914, 'recommend'), (0.0074315276, 'collect'), (0.0066800346, 'vulnerability'), (0.006369349, 'identify')]",0.4794707302663158,"['user', 'device', 'item']",0
"[(0.027921086, 'search'), (0.023623865, 'object'), (0.019603692, 'google'), (0.01942045, 'medium'), (0.018949952, 'engine'), (0.018194193, 'article'), (0.016693393, 'content'), (0.015593893, 'system'), (0.014338674, 'page'), (0.014259386, 'keyword'), (0.012628732, 'search_engine'), (0.012479763, 'site'), (0.010816306, 'user'), (0.010375571, 'website'), (0.00968002, 'design'), (0.008417852, 'story'), (0.0080653075, 'view'), (0.007768536, '2019'), (0.0076227584, 'ip'), (0.0070640645, 'create')]",0.46589292149147177,"['search', 'object', 'google']",6
"[(0.03399445, 'matrix'), (0.022683078, 'value'), (0.018485853, 'feature'), (0.0148585, 'variance'), (0.014827721, 'component'), (0.013873367, 'dimension'), (0.013767727, 'let'), (0.012534368, 'game'), (0.012514713, 'pca'), (0.012230893, 'mean'), (0.011694051, 'variable'), (0.010732424, 'dataset'), (0.010410339, 'new'), (0.0099607175, 'vector'), (0.009953814, 'point'), (0.008165107, 'cluster'), (0.0070106885, 'high'), (0.0069339983, 'original'), (0.0064182137, 'problem'), (0.0063539487, 'small')]",0.45559136523947236,"['matrix', 'value', 'feature']",7
"[(0.024887608, 'device'), (0.024201361, 'score'), (0.024071336, 'risk'), (0.021998376, 'event'), (0.016331801, 'day'), (0.014070621, 'algorithm'), (0.01333184, 'show'), (0.012435895, 'solution'), (0.010500094, 'risk_score'), (0.009966499, 'value'), (0.009431071, 'generate'), (0.009269923, 'population'), (0.008922406, 'distribution'), (0.008619743, '2020'), (0.007738076, 'individual'), (0.007737096, 'table'), (0.0066250903, '22'), (0.0065625305, 'rate'), (0.0064610885, 'high'), (0.006078485, 'confluence')]",0.38757439995398957,"['device', 'score', 'risk']",11
"[(0.045887817, 'anomaly'), (0.03189238, 'detection'), (0.020374341, 'anomaly_detection'), (0.01666973, 'point'), (0.015910966, 'algorithm'), (0.0127348425, 'outlier'), (0.010644979, 'detect'), (0.010151826, 'security'), (0.009403214, 'series'), (0.009330535, 'machine'), (0.008844387, 'graph'), (0.008308957, 'time_series'), (0.008222687, 'real'), (0.008124946, 'application'), (0.008085972, 'api'), (0.0077883676, 'microsoft'), (0.007512421, 'system'), (0.006788482, 'normal'), (0.006715011, 'real_time'), (0.006714777, 'problem')]",0.35071204986122007,"['anomaly', 'detection', 'anomaly_detection']",4
"[(0.036207017, 'state'), (0.02306583, 'page'), (0.019572206, 'link'), (0.019139243, 'aws'), (0.016680943, 'probability'), (0.015032967, 'algorithm'), (0.011612971, 'go'), (0.011243839, 'ml'), (0.011043735, 'let'), (0.009350076, 'rank'), (0.00817903, 'transition'), (0.00813296, 'step'), (0.007947098, 'give'), (0.007862106, 'amazon'), (0.007587769, 'observation'), (0.0073530353, 'question'), (0.0073321746, 'start'), (0.0072688223, 'process'), (0.007260951, 'google'), (0.006974934, 'create')]",0.27499769924617984,"['state', 'page', 'link']",5
